,Date,State,Confirmed
237,2020-03-20,Puducherry,1
238,2020-03-20,Punjab,2
239,2020-03-20,Rajasthan,17
240,2020-03-20,Tamil Nadu,3
241,2020-03-20,Telangana,17
242,2020-03-20,Chandigarh,1
243,2020-03-20,Jammu and Kashmir,4
244,2020-03-20,Ladakh,10
245,2020-03-20,Uttar Pradesh,23
246,2020-03-20,Uttarakhand,3
247,2020-03-20,West Bengal,2
248,2020-03-21,Andhra Pradesh,3
249,2020-03-21,Chhattisgarh,1
250,2020-03-21,Delhi,26
251,2020-03-21,Gujarat,7
252,2020-03-21,Haryana,17
253,2020-03-21,Himachal Pradesh,2
254,2020-03-21,Karnataka,15
255,2020-03-21,Kerala,40
256,2020-03-21,Madhya Pradesh,4
257,2020-03-21,Maharashtra,63
258,2020-03-21,Odisha,2
259,2020-03-21,Puducherry,1
260,2020-03-21,Punjab,13
261,2020-03-21,Rajasthan,17
262,2020-03-21,Tamil Nadu,3
263,2020-03-21,Telangana,21
264,2020-03-21,Chandigarh,1
265,2020-03-21,Jammu and Kashmir,4
266,2020-03-21,Ladakh,13
267,2020-03-21,Uttar Pradesh,24
268,2020-03-21,Uttarakhand,3
269,2020-03-21,West Bengal,3
270,2020-03-22,Andhra Pradesh,5
271,2020-03-22,Bihar,2
272,2020-03-22,Chhattisgarh,1
273,2020-03-22,Delhi,29
274,2020-03-22,Gujarat,18
275,2020-03-22,Haryana,21
276,2020-03-22,Himachal Pradesh,2
277,2020-03-22,Karnataka,26
278,2020-03-22,Kerala,52
279,2020-03-22,Madhya Pradesh,4
280,2020-03-22,Maharashtra,67
281,2020-03-22,Odisha,2
282,2020-03-22,Puducherry,1
283,2020-03-22,Punjab,21
284,2020-03-22,Rajasthan,24
285,2020-03-22,Tamil Nadu,7
286,2020-03-22,Telangana,22
287,2020-03-22,Chandigarh,5
288,2020-03-22,Jammu and Kashmir,4
289,2020-03-22,Ladakh,13
290,2020-03-22,Uttar Pradesh,27
291,2020-03-22,Uttarakhand,3
292,2020-03-22,West Bengal,4
293,2020-03-23,Andhra Pradesh,7
294,2020-03-23,Bihar,2
295,2020-03-23,Chhattisgarh,1
296,2020-03-23,Delhi,29
297,2020-03-23,Gujarat,29
298,2020-03-23,Haryana,26
299,2020-03-23,Himachal Pradesh,2
300,2020-03-23,Karnataka,33
301,2020-03-23,Kerala,67
302,2020-03-23,Madhya Pradesh,6
303,2020-03-23,Maharashtra,74
304,2020-03-23,Odisha,2
305,2020-03-23,Puducherry,1
306,2020-03-23,Punjab,21
